gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,last_new_job,training_hours,target
Male,No,Full time course,Graduate,STEM,1-4,2,108,1
Male,Yes,no_enrollment,Graduate,STEM,10-14,2,162,0
Male,Yes,Full time course,High School,STEM,5-9,>4,41,0
Male,Yes,no_enrollment,Masters,STEM,15-20,4,4,0
Female,No,no_enrollment,Phd,STEM,1-4,1,41,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,2,12,0
Male,Yes,no_enrollment,Graduate,STEM,>20,1,190,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,>4,29,1
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,11,0
Male,No,Full time course,High School,Business Degree,1-4,1,30,0
Male,Yes,no_enrollment,Masters,STEM,10-14,>4,39,0
Male,Yes,Full time course,High School,STEM,5-9,1,16,0
Male,No,no_enrollment,Graduate,STEM,>20,>4,5,0
Male,No,Full time course,High School,STEM,5-9,never,39,0
Male,Yes,no_enrollment,Masters,STEM,10-14,>4,29,0
Male,Yes,Full time course,Masters,STEM,1-4,2,210,0
Other,No,Part time course,High School,STEM,5-9,1,54,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,3,44,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,>4,47,0
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,74,0
Male,Yes,no_enrollment,Masters,STEM,5-9,1,8,1
Male,No,Full time course,Graduate,STEM,5-9,never,20,1
Male,Yes,no_enrollment,Graduate,STEM,1-4,1,162,0
Male,No,no_enrollment,Graduate,Business Degree,1-4,1,110,0
Other,Yes,Part time course,High School,STEM,1-4,1,262,0
Male,Yes,no_enrollment,Masters,STEM,10-14,1,6,0
Male,Yes,Part time course,Graduate,STEM,5-9,1,19,1
Other,No,no_enrollment,Graduate,STEM,>20,>4,23,1
Male,No,no_enrollment,Graduate,STEM,<1,1,107,1
Male,Yes,no_enrollment,Masters,STEM,15-20,>4,134,0
Male,Yes,no_enrollment,Masters,STEM,10-14,1,40,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,1,11,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,3,102,0
Male,No,Full time course,Graduate,STEM,1-4,never,100,0
Male,No,no_enrollment,Masters,STEM,1-4,never,30,0
Male,No,no_enrollment,High School,Business Degree,5-9,1,20,1
Male,Yes,no_enrollment,Graduate,STEM,10-14,3,4,0
Male,No,no_enrollment,Primary School,STEM,5-9,never,15,0
Male,No,no_enrollment,Graduate,STEM,<1,1,14,1
Male,No,no_enrollment,Primary School,STEM,1-4,never,103,0
Male,Yes,Part time course,Graduate,STEM,5-9,2,40,0
Male,Yes,no_enrollment,Phd,STEM,>20,2,27,0
Male,No,no_enrollment,High School,STEM,10-14,>4,46,0
Male,Yes,no_enrollment,High School,STEM,5-9,>4,110,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,1,96,0
Female,Yes,no_enrollment,Graduate,STEM,5-9,2,57,0
Male,Yes,Full time course,Graduate,STEM,5-9,1,240,0
Male,Yes,no_enrollment,Graduate,STEM,1-4,4,42,0
Male,Yes,no_enrollment,Masters,STEM,5-9,1,16,1
Male,Yes,no_enrollment,Graduate,STEM,>20,never,40,1
Male,Yes,no_enrollment,Graduate,STEM,5-9,2,94,0
Male,No,no_enrollment,Graduate,STEM,5-9,1,160,0
Male,No,Part time course,Graduate,STEM,10-14,1,25,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,11,0
Male,Yes,no_enrollment,High School,STEM,<1,1,29,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,23,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,2,113,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,2,56,0
Male,No,Full time course,Graduate,STEM,1-4,1,39,1
Male,No,no_enrollment,Graduate,STEM,1-4,1,20,0
Male,Yes,Full time course,Graduate,STEM,>20,1,40,0
Male,Yes,no_enrollment,Masters,STEM,>20,>4,56,0
Male,No,Full time course,Graduate,STEM,1-4,1,106,0
Male,Yes,Part time course,Graduate,STEM,15-20,2,64,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,51,0
Female,Yes,Full time course,Graduate,STEM,5-9,2,41,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,>4,150,0
Male,Yes,no_enrollment,Graduate,STEM,1-4,1,320,0
Male,Yes,no_enrollment,Masters,STEM,5-9,never,20,0
Male,No,Full time course,Graduate,STEM,1-4,1,9,1
Male,Yes,Full time course,Graduate,STEM,5-9,1,74,0
Male,Yes,no_enrollment,Masters,STEM,1-4,1,129,1
Female,Yes,no_enrollment,Masters,STEM,10-14,1,42,0
Male,No,no_enrollment,High School,STEM,1-4,never,58,0
Male,No,Full time course,High School,STEM,1-4,1,126,1
Female,No,no_enrollment,High School,STEM,1-4,1,45,1
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,166,0
Male,Yes,no_enrollment,Graduate,STEM,1-4,1,110,0
Male,Yes,Full time course,Graduate,STEM,>20,1,37,0
Female,Yes,Part time course,Graduate,STEM,1-4,1,95,1
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,29,1
Male,Yes,no_enrollment,Masters,STEM,>20,>4,31,0
Male,No,Full time course,Masters,STEM,10-14,>4,97,0
Male,No,no_enrollment,Primary School,STEM,1-4,never,16,0
Male,No,no_enrollment,Primary School,Humanities,1-4,never,14,0
Male,Yes,no_enrollment,Phd,STEM,>20,>4,206,0
Female,Yes,no_enrollment,Graduate,STEM,1-4,1,204,0
Male,Yes,no_enrollment,Masters,STEM,15-20,2,116,0
Male,Yes,no_enrollment,Masters,STEM,15-20,4,161,0
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,25,1
Male,Yes,no_enrollment,Graduate,STEM,15-20,>4,94,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,>4,16,0
Male,Yes,Full time course,Masters,STEM,15-20,1,100,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,never,107,0
Male,Yes,Part time course,Masters,STEM,10-14,1,17,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,1,140,0
Male,Yes,no_enrollment,Graduate,Humanities,1-4,2,75,0
Male,Yes,no_enrollment,High School,STEM,5-9,1,59,0
Male,Yes,no_enrollment,High School,STEM,5-9,1,146,0
Male,No,no_enrollment,Primary School,Other,1-4,never,302,0
Female,Yes,no_enrollment,Masters,STEM,5-9,2,42,1
Male,Yes,no_enrollment,Graduate,No Major,10-14,1,131,0
Male,Yes,Part time course,High School,STEM,5-9,4,74,0
Female,Yes,no_enrollment,Graduate,STEM,5-9,1,22,0
Male,No,no_enrollment,Graduate,STEM,1-4,never,53,1
Male,Yes,no_enrollment,Masters,STEM,>20,>4,143,0
Female,Yes,no_enrollment,Graduate,STEM,10-14,2,72,0
Male,Yes,no_enrollment,High School,STEM,10-14,1,7,0
Male,No,Full time course,Graduate,STEM,1-4,1,182,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,4,50,0
Male,Yes,no_enrollment,High School,Humanities,1-4,1,82,0
Male,Yes,Part time course,Graduate,STEM,1-4,1,58,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,94,0
Male,Yes,no_enrollment,Graduate,STEM,1-4,2,60,1
Male,Yes,Full time course,Masters,STEM,5-9,4,124,0
Male,No,no_enrollment,Primary School,STEM,1-4,2,46,0
Male,No,Full time course,Masters,STEM,1-4,2,57,1
Female,Yes,no_enrollment,Graduate,STEM,5-9,1,17,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,>4,101,0
Male,No,no_enrollment,Primary School,STEM,1-4,never,31,0
Male,Yes,no_enrollment,Graduate,STEM,>20,1,36,0
Male,Yes,Part time course,Graduate,STEM,15-20,4,198,0
Male,No,no_enrollment,Masters,STEM,5-9,never,31,0
Male,Yes,no_enrollment,Masters,STEM,5-9,1,12,0
Male,Yes,no_enrollment,Graduate,STEM,>20,1,31,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,>4,26,1
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,55,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,>4,8,1
Male,Yes,no_enrollment,High School,STEM,>20,>4,38,0
Male,Yes,no_enrollment,Graduate,Humanities,15-20,2,8,0
Male,Yes,no_enrollment,Masters,STEM,>20,3,32,1
Male,Yes,Part time course,Graduate,STEM,15-20,>4,51,0
Male,Yes,Full time course,Graduate,STEM,5-9,2,22,0
Male,Yes,Full time course,High School,STEM,5-9,1,17,0
Male,No,no_enrollment,Primary School,STEM,1-4,never,24,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,19,0
Male,Yes,Full time course,Masters,STEM,5-9,2,46,1
Female,Yes,no_enrollment,Graduate,STEM,10-14,>4,15,0
Male,Yes,no_enrollment,Masters,STEM,>20,>4,23,1
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,38,0
Male,No,Full time course,Masters,STEM,1-4,never,46,1
Male,No,Full time course,Graduate,Business Degree,<1,never,214,0
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,52,0
Female,No,no_enrollment,Graduate,STEM,<1,never,22,1
Male,Yes,no_enrollment,Masters,STEM,15-20,2,65,0
Male,Yes,Full time course,Graduate,No Major,10-14,1,64,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,4,86,0
Male,No,Full time course,Graduate,STEM,1-4,1,52,1
Male,Yes,no_enrollment,Masters,STEM,10-14,>4,21,0
Male,No,no_enrollment,Graduate,STEM,1-4,1,86,0
Male,No,Full time course,Masters,STEM,5-9,4,288,1
Male,Yes,no_enrollment,Masters,STEM,>20,>4,53,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,1,60,0
Male,Yes,no_enrollment,Masters,STEM,15-20,>4,178,0
Male,Yes,no_enrollment,Phd,STEM,>20,2,166,0
Male,Yes,no_enrollment,Phd,Humanities,>20,1,62,0
Male,Yes,Full time course,Graduate,STEM,5-9,1,35,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,>4,106,0
Male,No,no_enrollment,Graduate,STEM,5-9,never,58,0
Male,Yes,Full time course,Masters,STEM,1-4,never,44,1
Male,Yes,no_enrollment,Masters,STEM,5-9,1,72,0
Female,Yes,no_enrollment,High School,STEM,15-20,1,80,0
Male,Yes,no_enrollment,Masters,STEM,15-20,2,166,0
Male,Yes,no_enrollment,Masters,STEM,>20,1,25,0
Male,Yes,no_enrollment,Graduate,Business Degree,>20,never,109,0
Male,Yes,no_enrollment,Graduate,STEM,1-4,1,37,0
Male,No,Full time course,Graduate,STEM,1-4,never,55,1
Male,No,no_enrollment,Primary School,STEM,1-4,never,32,0
Male,No,no_enrollment,Graduate,STEM,5-9,3,51,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,1,84,0
Male,Yes,no_enrollment,Graduate,STEM,>20,1,72,0
Male,Yes,no_enrollment,High School,STEM,>20,1,47,0
Male,No,Full time course,Graduate,STEM,10-14,4,47,0
Male,Yes,Full time course,High School,STEM,5-9,2,20,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,198,1
Male,No,no_enrollment,Graduate,Other,1-4,1,64,0
Male,Yes,no_enrollment,Masters,STEM,15-20,>4,23,1
Male,No,Full time course,Masters,STEM,10-14,3,96,0
Male,No,no_enrollment,High School,STEM,1-4,never,306,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,8,0
Male,Yes,no_enrollment,Graduate,STEM,>20,1,48,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,98,1
Male,No,no_enrollment,Phd,STEM,5-9,never,46,0
Male,No,Full time course,Graduate,STEM,1-4,1,53,1
Male,Yes,no_enrollment,Graduate,Arts,>20,1,102,0
Male,No,Full time course,Graduate,STEM,1-4,1,76,0
Male,No,no_enrollment,Primary School,STEM,1-4,never,43,0
Male,No,no_enrollment,Graduate,STEM,>20,>4,32,0
Female,Yes,no_enrollment,Graduate,STEM,5-9,1,54,0
Male,Yes,Full time course,Masters,STEM,5-9,1,7,0
Female,Yes,no_enrollment,Masters,STEM,1-4,2,322,1
Male,Yes,no_enrollment,Graduate,STEM,>20,never,96,0
Female,Yes,Full time course,Graduate,STEM,1-4,1,7,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,1,53,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,1,161,0
Male,No,no_enrollment,Masters,STEM,5-9,1,11,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,2,6,0
Male,No,Full time course,Graduate,STEM,1-4,1,72,1
Female,Yes,no_enrollment,Masters,Humanities,5-9,1,182,0
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,67,0
Female,No,no_enrollment,Graduate,STEM,1-4,1,50,0
Female,No,Part time course,Graduate,STEM,5-9,1,16,0
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,38,0
Other,Yes,no_enrollment,Graduate,Arts,5-9,1,98,0
Male,No,Part time course,Graduate,STEM,1-4,2,7,1
Male,No,Full time course,Graduate,STEM,1-4,1,88,0
Male,Yes,no_enrollment,Masters,STEM,1-4,2,112,0
Other,Yes,Full time course,Graduate,STEM,15-20,never,30,1
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,9,0
